#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-08-08T23:04:51 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ6110576e3c04da	
#INFO	-out.max=unlimited	
#INFO	queryParameters=12	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:IV/24&tab:{IV/24/table2}&key:source=IV/24/table2&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=IV/24/table2
#-order=I
#-out=PK
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_4024
#Name: IV/24
#Title: Catalogue of Galactic Planetary Nebulae (Kohoutek, 2001)
#Table	IV_24_table2:
#Name: IV/24/table2
#Title: List of Planetary Nebulae (according to right ascension)
#Column	PK	(A9)	[0-9. +-] PK designation, as in CGPN	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A7)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A6)	Declination J2000	[ucd=pos.eq.dec;meta.main]
PK;RAJ2000;DEJ2000
350-02.1 ;17 32.3;-37 57
359+02.5 ;17 32.4;-28 14
348-04.1 ;17 32.8;-40 58
357+01.1 ;17 32.8;-30 00
351-01.1 ;17 33.0;-36 44
357+01.2 ;17 33.3;-30 26
336-11.1 ;17 34.5;-54 29
004+06.2 ;17 33.6;-21 46
357+01.4 ;17 33.8;-30 43
359+02.6 ;17 34.2;-27 56
003+05.1 ;17 34.4;-22 53
000+03.1 ;17 34.9;-26 36
358+01.5 ;17 35.0;-29 22
343-07.1 ;17 35.6;-47 00
358+01.1 ;17 35.3;-29 03
353-01.1 ;17 35.4;-34 48
358+01.3 ;17 35.4;-29 45
349-04.1 ;17 35.7;-40 12
358+01.6 ;17 35.4;-29 22
007+07.1 ;17 35.1;-18 34
341-09.1 ;17 36.2;-49 26
001+03.1 ;17 35.4;-25 43
005+06.1 ;17 35.4;-20 57
358+01.7 ;17 35.6;-29 13
000+02.1 ;17 35.6;-27 24
003+04.1 ;17 35.5;-23 12
357+01.3 ;17 35.7;-30 22
359+02.3 ;17 35.8;-27 43
358+01.8 ;17 35.9;-28 59
002+04.1 ;17 36.0;-24 26
350-03.1 ;17 36.5;-39 22
359+02.7 ;17 36.2;-28 01
005+05.1 ;17 36.4;-21 31
358+01.4 ;17 37.0;-29 40
003+04.2 ;17 37.4;-24 04
007+06.1 ;17 37.3;-18 47
356-00.1 ;17 37.8;-32 16
000+02.3 ;17 37.7;-27 49
007+06.2 ;17 38.2;-19 38
359+01.5 ;17 38.5;-28 52
004+04.1 ;17 38.5;-22 09
359+01.1 ;17 38.7;-28 43
359+01.6 ;17 38.8;-29 09
354-01.1 ;17 38.9;-34 28
346-06.1 ;17 39.3;-44 10
359+01.3 ;17 39.1;-28 57
353-02.2 ;17 39.3;-35 47
008+06.1 ;17 38.9;-18 18
036+21.1 ;17 38.4;+12 41
359+01.4 ;17 39.3;-28 16
358+00.1 ;17 39.4;-29 42
000+01.1 ;17 39.5;-27 28
347-06.1 ;17 40.1;-42 25
000+01.2 ;17 39.6;-27 48
355-01.2 ;17 40.0;-33 36
005+05.2 ;17 39.9;-21 15
003+03.1 ;17 40.2;-24 26
001+02.1 ;17 40.2;-26 45
355-01.1 ;17 40.5;-33 30
005+04.1 ;17 40.3;-22 20
344-08.1 ;17 41.1;-47 04
001+01.1 ;17 40.4;-27 01
353-02.1 ;17 40.8;-35 44
001+02.2 ;17 41.4;-26 03
005+04.2 ;17 41.6;-22 13
003+02.1 ;17 41.9;-24 42
003+03.2 ;17 42.0;-24 11
010+07.1 ;17 42.1;-15 56
027+16.1 ;17 41.7;+03 07
000+01.3 ;17 42.4;-27 55
000+01.4 ;17 42.5;-27 33
002+02.1 ;17 42.5;-25 45
350-05.1 ;17 42.9;-39 36
353-03.1 ;17 42.9;-36 13
017+11.1 ;17 42.2;-08 43
001+01.3 ;17 42.8;-27 21
001+01.2 ;17 43.3;-26 44
000+01.5 ;17 43.4;-27 34
001+01.4 ;17 43.5;-26 47
006+04.1 ;17 43.5;-21 10
045+24.1 ;17 42.6;+21 27
002+02.2 ;17 43.7;-25 36
036+20.1 ;17 43.1;+12 21
002+01.4 ;17 43.9;-26 12
355-02.2 ;17 44.2;-34 17
355-02.1 ;17 44.3;-34 06
353-03.2 ;17 44.6;-36 14
003+02.2 ;17 44.6;-24 13
001+01.6 ;17 44.6;-26 47
352-04.1 ;17 45.1;-38 09
343-09.1 ;17 45.6;-47 44
351-04.1 ;17 45.2;-38 17
346-08.1 ;17 45.5;-44 54
011+07.1 ;17 44.7;-15 45
345-08.1 ;17 45.6;-46 05
356-01.1 ;17 45.2;-32 46
002+01.3 ;17 45.1;-25 44
001+00.2 ;17 45.1;-27 32
355-02.4 ;17 45.5;-34 34
009+05.1 ;17 45.2;-17 57
002+01.2 ;17 45.5;-25 38
001+01.5 ;17 45.6;-27 01
006+04.2 ;17 45.5;-20 58
002+01.1 ;17 45.7;-25 40
005+03.1 ;17 45.6;-23 02
001+00.3 ;17 45.7;-27 31
358-00.2 ;17 46.0;-30 12
355-02.3 ;17 46.1;-34 04
358-01.1 ;17 46.0;-31 03
051+25.1 ;17 45.0;+27 20
008+05.1 ;17 46.1;-18 39
007+04.1 ;17 46.4;-20 14
356-02.2 ;17 46.8;-33 09
358-01.4 ;17 46.9;-30 38
356-02.3 ;17 47.3;-33 16
011+06.1 ;17 46.9;-16 17
356-02.1 ;17 47.5;-32 50
352-04.2 ;17 47.9;-37 48
004+02.2 ;17 47.6;-24 13
355-03.1 ;17 47.8;-34 08
006+03.1 ;17 47.6;-21 48
353-04.2 ;17 48.0;-36 50
006+03.2 ;17 47.6;-22 06
359-00.1 ;17 47.9;-30 00
006+03.3 ;17 47.8;-21 32
005+02.1 ;17 48.1;-22 47
355-03.4 ;17 48.5;-35 06
003+01.1 ;17 48.5;-24 41
011+05.1 ;17 48.3;-16 29
004+01.1 ;17 48.6;-24 17
006+02.1 ;17 48.6;-22 17
001+00.4 ;17 48.7;-27 26
355-03.2 ;17 48.9;-34 22
358-01.3 ;17 48.9;-31 07
355-03.3 ;17 49.2;-34 23
004+02.1 ;17 49.0;-23 43
358-01.5 ;17 49.3;-30 36
008+03.1 ;17 49.3;-20 01
353-04.1 ;17 49.8;-37 02
356-03.1 ;17 49.8;-34 01
353-05.2 ;17 50.2;-37 04
005+02.2 ;17 49.8;-23 28
356-03.5 ;17 50.2;-33 14
351-06.2 ;17 50.5;-39 41
000-01.8 ;17 50.2;-29 19
359-01.1 ;17 50.3;-30 35
000-01.1 ;17 50.4;-29 25
000-00.3 ;17 50.4;-28 33
351-06.1 ;17 50.8;-39 18
353-05.1 ;17 50.7;-37 24
332-16.1 ;17 51.9;-60 24
008+03.2 ;17 50.4;-19 54
009+04.1 ;17 50.4;-19 03
000-00.4 ;17 50.8;-28 45
000-01.9 ;17 50.8;-29 25
355-04.1 ;17 51.2;-34 56
006+02.2 ;17 51.0;-22 20
009+04.2 ;17 50.9;-18 47
000-01.14;17 51.2;-28 57
359-01.2 ;17 51.3;-30 24
358-02.3 ;17 51.4;-31 14
000-00.5 ;17 51.4;-28 36
358-02.4 ;17 51.8;-32 03
358-02.1 ;17 51.7;-31 36
356-03.2 ;17 51.8;-33 48
359-01.4 ;17 51.8;-30 03
351-06.3 ;17 52.2;-39 33
000-01.11;17 51.9;-29 31
358-02.6 ;17 52.0;-31 18
001-00.5 ;17 51.9;-27 48
359-01.3 ;17 52.1;-30 06
001-00.6 ;17 52.0;-27 37
001-00.4 ;17 52.2;-28 03
345-10.1 ;17 52.7;-46 42
010+04.1 ;17 52.1;-17 36
357-03.2 ;17 52.6;-32 46
006+02.3 ;17 52.4;-21 52
000-01.2 ;17 52.6;-29 07
359-02.2 ;17 52.7;-30 50
351-06.4 ;17 53.1;-39 25
332-16.2 ;17 54.2;-60 50
010+04.2 ;17 52.5;-17 41
355-04.2 ;17 53.0;-34 39
006+02.5 ;17 52.7;-22 22
000-01.12;17 52.9;-29 30
007+02.1 ;17 52.8;-21 16
001-01.6 ;17 53.2;-28 19
357-03.3 ;17 53.3;-32 41
356-03.3 ;17 53.3;-33 56
000-01.10;17 53.4;-29 50
000-01.7 ;17 53.4;-29 18
357-03.4 ;17 53.6;-32 59
358-02.5 ;17 53.6;-31 26
001-01.5 ;17 53.6;-28 29
000-01.5 ;17 53.8;-29 44
006+02.4 ;17 53.6;-21 59
000-01.13;17 54.0;-29 21
352-06.1 ;17 54.4;-39 11
036+17.1 ;17 53.6;+10 37
356-04.1 ;17 54.5;-34 23
000-01.6 ;17 54.4;-29 37
001-01.2 ;17 54.6;-28 13
012+04.1 ;17 54.4;-15 56
014+06.1 ;17 54.4;-12 49
001-01.4 ;17 54.9;-28 48
359-02.4 ;17 55.1;-31 12
007+01.1 ;17 55.1;-21 44
000-02.2 ;17 55.3;-29 57
359-02.3 ;17 55.6;-30 33
053+24.1 ;17 54.4;+28 00
358-03.3 ;17 56.0;-31 38
000-02.1 ;17 56.1;-29 11
001-01.3 ;17 56.1;-28 13
006+01.1 ;17 55.9;-22 59
013+05.1 ;17 55.8;-15 02
348-09.1 ;17 56.6;-43 03
013+05.2 ;17 55.8;-14 06
009+02.1 ;17 56.1;-19 29
359-03.1 ;17 56.4;-31 04
011+04.1 ;17 56.3;-16 29
356-04.2 ;17 57.3;-34 09
357-04.1 ;17 57.4;-33 35
010+03.1 ;17 57.1;-18 06
007+01.2 ;17 57.3;-21 41
000-02.5 ;17 57.7;-30 02
358-03.1 ;17 58.1;-31 43
357-04.3 ;17 58.2;-33 47
000-02.4 ;17 58.2;-29 44
359-03.2 ;17 58.2;-31 08
000-02.6 ;17 58.3;-30 00
002-02.1 ;17 58.4;-28 15
001-02.2 ;17 58.4;-29 21
357-04.2 ;17 58.5;-33 28
001-02.1 ;17 58.5;-28 33
002-01.1 ;17 58.5;-27 37
358-04.1 ;17 59.1;-32 22
349-09.1 ;17 59.5;-42 25
000-03.2 ;17 59.3;-30 03
013+04.1 ;17 59.0;-15 32
002-02.2 ;17 59.4;-28 14
358-04.2 ;17 59.9;-32 59
359-04.1 ;18 00.0;-31 54
352-07.1 ;18 00.2;-38 50
340-14.1 ;18 01.0;-52 44
356-05.1 ;18 00.3;-34 28
011+02.1 ;18 00.1;-17 41
002-02.5 ;18 01.0;-28 16
002-02.3 ;18 01.1;-27 38
357-05.1 ;18 01.4;-33 18
014+04.1 ;18 01.1;-14 30
358-05.1 ;18 01.7;-33 15
002-02.4 ;18 01.7;-28 26
096+29.1 ;17 58.6;+66 38
356-05.2 ;18 02.0;-34 28
000-03.1 ;18 02.3;-30 14
355-06.1 ;18 02.5;-36 39
356-06.1 ;18 02.5;-35 13
001-03.3 ;18 02.4;-29 25
359-04.3 ;18 02.8;-32 10
354-07.2 ;18 02.9;-37 08
359-04.5 ;18 02.8;-31 24
003-02.4 ;18 02.8;-27 41
014+03.1 ;18 02.7;-14 42
001-03.4 ;18 03.1;-29 46
352-08.1 ;18 03.5;-39 22
003-02.2 ;18 03.2;-26 59
001-03.5 ;18 03.3;-29 51
358-05.2 ;18 03.4;-32 43
003-02.3 ;18 03.3;-27 07
358-05.5 ;18 03.5;-32 38
001-03.6 ;18 03.6;-29 46
003-02.1 ;18 03.6;-26 44
358-05.3 ;18 03.9;-32 42
359-04.2 ;18 03.8;-31 18
001-03.7 ;18 03.9;-29 52
357-06.1 ;18 04.1;-34 29
001-03.8 ;18 04.0;-29 27
359-04.4 ;18 04.1;-31 39
002-03.7 ;18 04.1;-28 28
353-08.1 ;18 04.6;-38 48
356-06.2 ;18 04.4;-34 58
002-03.2 ;18 04.5;-28 38
002-03.1 ;18 04.5;-28 22
000-04.3 ;18 04.7;-31 03
354-07.1 ;18 04.9;-37 38
358-05.4 ;18 05.0;-32 54
000-04.1 ;18 05.0;-30 59
356-06.3 ;18 05.3;-35 28
001-03.9 ;18 05.1;-29 21
010+00.1 ;18 05.3;-19 51
002-03.3 ;18 05.5;-28 22
005-01.1 ;18 05.4;-25 14
355-07.1 ;18 05.9;-36 46
357-06.2 ;18 06.1;-34 34
004-02.1 ;18 05.9;-26 30
002-03.4 ;18 06.1;-28 17
002-03.5 ;18 06.1;-28 41
342-14.1 ;18 07.2;-51 02
028+10.1 ;18 06.1;+00 22
356-07.4 ;18 06.9;-36 07
004-03.1 ;18 06.7;-26 55
003-03.2 ;18 06.8;-27 07
356-07.3 ;18 07.2;-36 03
000-04.2 ;18 07.1;-30 35
002-04.1 ;18 07.1;-29 13
356-07.5 ;18 07.4;-35 46
001-04.1 ;18 07.2;-29 42
359-05.1 ;18 07.3;-31 43
019+05.1 ;18 07.0;-08 56
356-07.1 ;18 07.7;-36 07
015+03.1 ;18 07.5;-13 29
001-04.2 ;18 07.9;-29 45
005-02.1 ;18 07.9;-25 25
004-03.2 ;18 08.0;-26 55
002-03.6 ;18 08.1;-28 27
359-06.2 ;18 08.6;-32 29
000-05.1 ;18 08.5;-31 36
000-05.2 ;18 08.6;-31 06
351-10.2 ;18 09.0;-41 48
008-01.1 ;18 08.4;-22 16
357-07.1 ;18 09.2;-34 47
005-02.2 ;18 09.2;-25 04
005-03.1 ;18 09.2;-26 02
050+19.1 ;18 08.4;+24 11
006-02.1 ;18 09.5;-24 12
356-07.2 ;18 09.9;-35 44
345-13.1 ;18 10.6;-48 25
004-03.3 ;18 10.2;-27 16
003-04.2 ;18 10.5;-28 07
003-04.11;18 10.6;-28 19
018+04.1 ;18 10.5;-10 29
002-04.2 ;18 11.1;-28 59
001-05.1 ;18 11.2;-30 38
003-04.3 ;18 11.4;-27 46
358-07.2 ;18 11.7;-34 00
003-04.7 ;18 11.6;-28 22
003-04.5 ;18 11.9;-28 10
358-07.1 ;18 12.0;-33 52
011-00.1 ;18 11.8;-18 46
355-08.1 ;18 12.4;-36 53
000-06.2 ;18 12.2;-31 20
003-04.4 ;18 12.3;-27 52
005-03.2 ;18 12.4;-26 33
004-04.1 ;18 12.4;-27 29
356-08.1 ;18 12.7;-36 32
351-10.1 ;18 12.8;-41 30
003-04.8 ;18 12.6;-27 58
006-03.1 ;18 12.6;-24 50
003-04.9 ;18 12.8;-28 20
005-03.3 ;18 12.7;-25 44
034+11.1 ;18 12.1;+06 51
002-05.2 ;18 13.0;-29 25
359-06.1 ;18 13.3;-32 20
001-05.2 ;18 13.2;-30 26
006-03.3 ;18 13.3;-25 30
005-04.1 ;18 13.7;-26 09
011-00.2 ;18 13.7;-19 04
001-06.3 ;18 14.2;-31 11
006-03.4 ;18 14.3;-25 21
002-05.1 ;18 14.6;-29 49
006-03.2 ;18 14.5;-24 44
359-07.1 ;18 14.9;-32 37
024+05.1 ;18 14.3;-04 59
008-02.1 ;18 14.8;-22 44
002-06.1 ;18 15.1;-30 16
001-06.1 ;18 15.4;-30 32
354-10.1 ;18 15.6;-38 28
359-07.2 ;18 15.6;-32 38
019+03.1 ;18 15.3;-10 10
022+04.1 ;18 15.2;-06 57
004-05.2 ;18 15.8;-27 54
004-05.6 ;18 15.8;-27 49
001-06.2 ;18 16.2;-30 52
004-05.1 ;18 16.2;-27 15
002-06.2 ;18 16.3;-30 08
004-04.2 ;18 16.3;-27 05
010-01.1 ;18 16.3;-20 27
005-04.2 ;18 16.9;-26 24
337-18.1 ;18 18.2;-57 11
007-03.1 ;18 17.3;-23 59
000-07.1 ;18 17.7;-31 57
003-06.1 ;18 17.7;-29 09
004-05.3 ;18 17.7;-28 17
003-06.2 ;18 17.8;-29 06
007-03.2 ;18 17.8;-24 03
348-13.1 ;18 18.5;-45 59
004-05.7 ;18 18.1;-27 32
023+04.1 ;18 17.8;-06 49
006-04.1 ;18 18.2;-25 38
038+12.1 ;18 17.6;+10 09
008-03.1 ;18 18.4;-23 25
000-07.2 ;18 18.7;-31 55
000-08.1 ;18 18.8;-32 48
004-05.5 ;18 18.7;-28 08
359-08.1 ;18 19.4;-33 37
005-05.1 ;18 19.4;-26 36
357-09.1 ;18 20.2;-36 08
007-04.1 ;18 20.2;-24 15
005-05.3 ;18 20.7;-27 16
005-05.2 ;18 21.0;-26 49
021+02.1 ;18 21.3;-08 32
024+03.1 ;18 21.4;-06 02
005-06.2 ;18 21.9;-27 10
008-04.1 ;18 22.1;-24 11
002-07.1 ;18 22.6;-30 43
008-04.2 ;18 22.6;-24 09
005-06.1 ;18 22.9;-26 49
006-05.1 ;18 23.0;-26 05
003-07.1 ;18 23.2;-29 43
012-02.1 ;18 23.1;-19 17
007-05.1 ;18 23.7;-24 47
032+07.1 ;18 23.4;+03 37
019+00.1 ;18 24.2;-11 06
094+27.1 ;18 21.9;+64 22
007-06.1 ;18 25.0;-25 42
009-04.1 ;18 25.1;-22 35
032+07.2 ;18 24.7;+02 30
028+05.1 ;18 25.0;-01 31
030+06.1 ;18 24.9;+00 52
009-05.1 ;18 25.7;-23 12
013-02.1 ;18 26.0;-18 12
353-12.1 ;18 26.7;-40 30
020+00.1 ;18 26.0;-10 45
027+04.1 ;18 26.7;-02 43
017-01.1 ;18 27.2;-14 08
356-11.1 ;18 27.8;-37 16
031+05.1 ;18 27.1;+01 15
007-06.2 ;18 28.0;-26 07
021+00.1 ;18 27.7;-09 38
016-01.1 ;18 28.0;-15 33
009-05.2 ;18 28.3;-23 25
043+11.1 ;18 27.8;+14 29
022+01.1 ;18 28.6;-08 43
002-09.1 ;18 29.2;-31 30
011-05.1 ;18 29.2;-21 47
016-02.1 ;18 29.4;-15 08
013-03.1 ;18 29.5;-19 06
013-04.1 ;18 30.0;-19 41
015-03.1 ;18 30.2;-16 45
018-01.1 ;18 30.2;-13 54
020-00.1 ;18 30.2;-11 37
013-04.2 ;18 30.5;-19 15
023+01.1 ;18 30.5;-07 28
009-06.2 ;18 31.3;-23 58
032+05.1 ;18 31.0;+02 25
008-07.1 ;18 31.9;-24 46
034+06.1 ;18 31.8;+04 05
055+16.1 ;18 31.3;+26 56
005-08.1 ;18 32.5;-28 44
008-07.2 ;18 32.6;-25 08
021-00.1 ;18 32.7;-10 06
018-02.1 ;18 33.0;-13 45
014-04.1 ;18 33.3;-18 17
021-00.2 ;18 33.3;-10 16
021-01.1 ;18 33.5;-11 08
030+04.1 ;18 33.3;+00 11
038+07.1 ;18 33.2;+08 18
010-06.1 ;18 33.9;-22 39
017-02.1 ;18 34.0;-14 53
019-02.1 ;18 34.2;-13 13
028+02.1 ;18 34.2;-02 28
044+10.1 ;18 34.1;+14 49
006-08.1 ;18 34.9;-27 07
010-06.2 ;18 34.8;-22 44
004-09.1 ;18 35.7;-29 39
030+03.1 ;18 35.4;-00 14
015-04.1 ;18 35.8;-17 37
016-04.1 ;18 36.1;-16 59
009-07.1 ;18 36.4;-23 55
011-06.1 ;18 36.6;-21 49
014-05.1 ;18 36.5;-19 19
014-05.2 ;18 37.1;-19 02
009-08.1 ;18 37.5;-24 26
016-04.2 ;18 37.8;-17 05
028+01.1 ;18 37.6;-03 06
011-07.2 ;18 38.7;-22 24
004-11.1 ;18 39.4;-30 40
027+00.1 ;18 39.3;-04 20
014-06.1 ;18 39.6;-19 14
011-07.1 ;18 40.3;-22 54
022-02.1 ;18 40.4;-10 40
023-01.1 ;18 40.4;-08 44
017-04.1 ;18 41.3;-15 34
023-01.2 ;18 41.1;-08 56
020-03.1 ;18 41.2;-13 12
013-07.2 ;18 42.0;-20 32
025-00.1 ;18 42.1;-06 41
019-04.2 ;18 42.4;-14 15
029+00.1 ;18 42.8;-03 13
022-03.1 ;18 43.0;-11 07
031+01.1 ;18 43.1;-00 17
023-02.1 ;18 43.3;-09 05
019-04.1 ;18 43.6;-13 45
004-11.2 ;18 44.2;-30 20
014-07.1 ;18 44.1;-19 55
035+03.1 ;18 43.6;+03 47
021-03.1 ;18 44.1;-12 13
009-09.1 ;18 44.7;-25 22
029-00.1 ;18 44.9;-03 21
037+04.1 ;18 44.7;+06 07
002-13.1 ;18 45.9;-33 21
013-07.1 ;18 45.6;-20 35
026-01.2 ;18 45.5;-06 57
034+02.1 ;18 45.4;+02 01
026-01.1 ;18 45.6;-06 19
019-05.1 ;18 45.9;-14 28
011-09.1 ;18 46.5;-23 27
025-02.1 ;18 46.4;-07 15
024-02.1 ;18 46.5;-08 28
022-04.1 ;18 47.1;-11 41
026-02.1 ;18 47.5;-06 54
024-03.1 ;18 47.8;-09 09
009-10.1 ;18 48.2;-25 29
016-07.1 ;18 48.2;-18 30
016-07.2 ;18 48.5;-17 44
027-02.1 ;18 48.8;-05 57
042+05.1 ;18 48.6;+10 35
014-08.1 ;18 49.4;-19 53
026-02.3 ;18 49.7;-07 02
017-07.1 ;18 50.2;-17 02
012-09.1 ;18 50.4;-22 34
028-02.1 ;18 50.2;-05 15
051+09.1 ;18 49.7;+20 51
031-00.2 ;18 50.4;-01 40
020-05.1 ;18 50.7;-13 31
031-00.1 ;18 50.7;-01 03
064+15.1 ;18 50.0;+35 15
044+05.2 ;18 50.8;+12 38
021-05.1 ;18 51.5;-13 10
041+04.1 ;18 51.7;+09 55
044+05.1 ;18 53.0;+12 16
027-03.1 ;18 53.5;-06 28
027-03.2 ;18 54.0;-06 26
029-02.1 ;18 54.2;-04 39
024-05.1 ;18 54.3;-10 05
032-00.1 ;18 54.1;-00 20
025-04.1 ;18 54.3;-08 47
058+12.1 ;18 53.7;+28 32
063+13.1 ;18 53.6;+33 02
025-04.2 ;18 54.6;-08 50
003-14.1 ;18 55.6;-32 16
038+02.1 ;18 54.9;+06 03
013-10.1 ;18 55.5;-21 50
032-01.1 ;18 56.3;-01 34
039+02.1 ;18 56.3;+07 07
043+03.1 ;18 56.6;+10 52
017-09.1 ;18 57.3;-17 51
019-08.1 ;18 57.3;-15 29
028-04.1 ;18 57.3;-06 00
028-03.1 ;18 57.9;-05 28
035-00.1 ;18 58.1;+01 37
032-02.1 ;18 58.4;-01 04
033-01.1 ;18 58.9;-00 33
052+07.1 ;18 59.1;+20 37
033-02.2 ;19 00.3;-00 15
032-03.1 ;19 00.6;-02 12
078+18.1 ;18 59.3;+48 28
017-10.1 ;19 01.0;-18 13
023-07.1 ;19 01.4;-11 59
041+01.1 ;19 01.1;+08 25
068+14.1 ;19 00.4;+38 21
032-02.2 ;19 01.6;-01 19
014-11.1 ;19 02.3;-21 27
036-01.1 ;19 02.0;+02 09
032-03.2 ;19 02.2;-01 49
043+02.1 ;19 02.3;+10 17
033-02.1 ;19 02.6;-00 27
047+04.1 ;19 02.7;+14 28
036-01.2 ;19 03.0;+03 02
046+03.1 ;19 03.2;+14 06
038-00.1 ;19 03.8;+05 10
051+06.1 ;19 03.6;+19 21
048+04.1 ;19 03.7;+16 27
036-01.3 ;19 04.6;+02 15
050+05.1 ;19 04.5;+17 58
003-17.1 ;19 05.6;-33 11
048+04.2 ;19 04.9;+15 48
011-14.1 ;19 05.7;-25 23
029-05.1 ;19 06.0;-05 59
046+02.1 ;19 06.4;+13 45
058+09.1 ;19 06.1;+27 13
040-00.1 ;19 06.7;+06 24
036-02.1 ;19 08.0;+02 22
341-24.1 ;19 09.8;-55 35
055+06.1 ;19 08.6;+22 59
041-00.1 ;19 09.2;+07 06
045+01.1 ;19 09.4;+12 01
033-05.1 ;19 10.4;-02 20
039-02.2 ;19 10.9;+04 27
062+09.1 ;19 11.1;+30 33
047+01.1 ;19 11.6;+13 31
048+02.1 ;19 12.1;+15 09
044+00.1 ;19 12.3;+10 36
030-07.1 ;19 13.0;-05 21
037-03.2 ;19 13.1;+02 53
049+02.1 ;19 13.1;+15 47
038-03.1 ;19 13.4;+03 25
037-03.3 ;19 13.5;+02 18
049+02.2 ;19 13.3;+15 39
039-02.1 ;19 13.6;+04 38
042-01.1 ;19 13.5;+07 26
005-18.1 ;19 14.3;-32 35
013-15.1 ;19 14.2;-23 42
029-07.1 ;19 13.9;-06 19
044-00.1 ;19 13.7;+10 39
048+01.1 ;19 13.7;+14 59
038-03.2 ;19 13.9;+03 38
051+03.1 ;19 14.0;+17 31
033-06.1 ;19 14.6;-02 43
035-05.1 ;19 14.7;+00 13
061+08.1 ;19 14.5;+28 40
051+02.1 ;19 15.0;+17 22
048+01.2 ;19 15.5;+14 04
027-09.1 ;19 16.4;-09 03
358-21.1 ;19 17.4;-39 37
040-03.1 ;19 16.5;+05 13
019-13.1 ;19 17.1;-18 02
058+06.1 ;19 17.1;+25 37
026-11.1 ;19 18.4;-11 06
037-05.1 ;19 18.3;+01 47
034-06.1 ;19 18.4;-01 35
041-02.1 ;19 18.4;+06 33
053+03.1 ;19 18.7;+19 35
025-11.1 ;19 19.3;-12 14
052+02.1 ;19 19.0;+19 03
051+01.1 ;19 19.3;+17 12
056+04.1 ;19 19.6;+22 35
077+14.1 ;19 19.2;+46 15
043-03.1 ;19 21.0;+07 37
006-19.1 ;19 22.2;-31 30
032-08.1 ;19 22.0;-04 12
045-01.1 ;19 22.5;+10 42
037-06.1 ;19 22.9;+01 31
046-01.1 ;19 22.9;+11 28
053+01.1 ;19 22.9;+18 42
055+02.1 ;19 23.5;+21 08
055+02.2 ;19 23.8;+21 07
059+04.1 ;19 24.1;+25 19
045-02.1 ;19 24.4;+09 54
051+00.1 ;19 25.7;+16 33
048-01.1 ;19 26.4;+13 20
031-10.1 ;19 27.0;-06 35
055+02.3 ;19 26.7;+21 09
055+01.1 ;19 26.7;+20 29
046-03.1 ;19 27.8;+10 24
056+02.1 ;19 27.8;+21 30
048-02.1 ;19 28.2;+12 19
320-28.1 ;19 33.9;-74 33
050-01.1 ;19 30.3;+14 47
034-10.1 ;19 31.1;-03 43
004-22.1 ;19 32.2;-34 13
046-04.1 ;19 31.3;+10 03
045-04.1 ;19 31.6;+09 13
044-05.1 ;19 32.6;+07 27
061+03.1 ;19 32.9;+26 53
047-04.1 ;19 33.3;+10 38
057+01.1 ;19 33.1;+22 59
059+02.1 ;19 33.8;+24 33
042-06.1 ;19 34.6;+05 41
064+05.1 ;19 34.8;+30 31
053-01.1 ;19 35.3;+17 13
034-11.1 ;19 36.3;-03 53
059+02.2 ;19 35.9;+24 55
058+01.1 ;19 36.3;+23 40
055-00.1 ;19 36.5;+19 43
053-02.1 ;19 37.5;+16 54
060+01.1 ;19 38.2;+25 16
060+01.2 ;19 38.9;+25 06
052-02.2 ;19 39.2;+15 57
052-02.1 ;19 39.3;+16 21
056-00.1 ;19 39.6;+20 19
019-19.1 ;19 40.4;-20 27
061+02.1 ;19 39.8;+26 30
055-01.1 ;19 40.4;+18 49
051-03.1 ;19 41.2;+14 57
054-02.1 ;19 41.5;+17 45
051-04.1 ;19 42.0;+13 51
053-03.1 ;19 42.2;+17 05
052-04.1 ;19 42.3;+15 09
025-17.1 ;19 43.9;-14 09
065+03.1 ;19 43.8;+30 14
044-09.1 ;19 45.6;+05 34
057-01.1 ;19 45.4;+21 20
059-00.2 ;19 45.5;+22 58
083+12.1 ;19 44.8;+50 31
017-21.1 ;19 46.6;-23 09
060-00.1 ;19 46.2;+24 11
059-01.1 ;19 48.5;+22 09
059-01.2 ;19 48.9;+22 26
066+02.2 ;19 50.0;+30 15
069+03.1 ;19 50.0;+33 46
082+11.1 ;19 49.7;+48 58
062-00.1 ;19 50.5;+25 55
071+04.1 ;19 50.8;+36 20
066+02.1 ;19 51.0;+31 03
068+03.1 ;19 51.9;+33 00
063+00.1 ;19 52.2;+27 19
069+02.1 ;19 54.0;+33 22
070+03.1 ;19 54.3;+35 07
065+00.1 ;19 55.0;+29 17
019-23.1 ;19 57.5;-21 37
068+01.1 ;19 56.5;+32 22
014-25.1 ;19 58.2;-26 28
075+05.1 ;19 57.1;+39 49
